term	df	idf
carob	10	6.336118
carolina	6	6.846943
carolle	1	8.638703
carottes	1	8.638703
carpaccio	1	8.638703
carrabba	1	8.638703
carribean	1	8.638703
carried	1	8.638703
carries	3	7.540090
carroll	1	8.638703
carrot	294	2.955123
carrotand	1	8.638703
carrots	470	2.485970
carrs	1	8.638703
carry	3	7.540090
cars	1	8.638703
cartilage	3	7.540090
carton	20	5.642970
cartons	5	7.029265
carve	10	6.336118
carving	15	5.930652
casaba	2	7.945555
casalinga	1	8.638703
casanova	1	8.638703
casarole	1	8.638703
case	11	6.240807
casein	1	8.638703
cases	4	7.252408
casey	1	8.638703
cash	1	8.638703
cashew	26	5.380606
cashews	41	4.925131
casing	14	5.999645
casings	19	5.694264
casserle	1	8.638703
casserole	492	2.440224
casseroles	3	7.540090
cassia	1	8.638703
cassis	2	7.945555
cassoulet	6	6.846943
cassrole	1	8.638703
cast	31	5.204715
caster	41	4.925131
castor	1	8.638703
catalina	3	7.540090
catalonia	1	8.638703
categories	1	8.638703
catfish	20	5.642970
catsup	24	5.460649
cattlemen	1	8.638703
cauce	1	8.638703
cauliflower	93	4.106103
caulifower	1	8.638703
cause	9	6.441478
caused	1	8.638703
causes	1	8.638703
caution	7	6.692792
cautious	1	8.638703
cavallo	1	8.638703
cavatappi	7	6.692792
cave	1	8.638703
caviar	8	6.559261
cavities	3	7.540090
cavity	10	6.336118
cayenne	404	2.637288
cazuela	1	8.638703
ccktail	1	8.638703
cd	1	8.638703
ceam	1	8.638703
ceci	2	7.945555
cedar	2	7.945555
cel	1	8.638703
celcius	2	7.945555
celeriac	8	6.559261
celery	630	2.192983
cellophane	2	7.945555
celsius	7	6.692792
celtic	4	7.252408
center	422	2.593697
centered	1	8.638703
centers	24	5.460649
centigrade	1	8.638703
centimeter	1	8.638703
centre	39	4.975141
centres	1	8.638703
centrimetre	1	8.638703
century	1	8.638703
cepes	1	8.638703
ceramic	15	5.930652
cereal	73	4.348243
cereals	4	7.252408
cerignola	1	8.638703
certain	8	6.559261
certainly	1	8.638703
certified	1	8.638703
certo	2	7.945555
ceviche	2	7.945555
cha	1	8.638703
chaat	3	7.540090
chablis	1	8.638703
chachere	1	8.638703
chafing	3	7.540090
chai	8	6.559261
challah	6	6.846943
challahs	1	8.638703
challenge	1	8.638703
challenging	1	8.638703
cham	2	7.945555
chambord	8	6.559261
chamel	1	8.638703
chamomile	1	8.638703
chamorro	3	7.540090
champagne	10	6.336118
champignons	1	8.638703
chana	3	7.540090
chance	7	6.692792
chang	4	7.252408
change	25	5.419827
changed	1	8.638703
changes	7	6.692792
changing	2	7.945555
changs	1	8.638703
channa	1	8.638703
chanterelle	1	8.638703
chanterelles	2	7.945555
chaokoh	1	8.638703
chapati	1	8.638703
chapatis	2	7.945555
chapattis	1	8.638703
char	4	7.252408
character	1	8.638703
charcoal	18	5.748331
chard	18	5.748331
chardonnay	6	6.846943
charles	2	7.945555
charlotte	1	8.638703
charred	8	6.559261
chartreuse	3	7.540090
chat	3	7.540090
chatchery	1	8.638703
chatelaine	1	8.638703
chawal	1	8.638703
che	1	8.638703
cheap	5	7.029265
cheaper	3	7.540090
cheapest	2	7.945555
cheat	4	7.252408
cheated	1	8.638703
cheating	1	8.638703
check	102	4.013730
checked	2	7.945555
checking	13	6.073753
cheddar	539	2.348987
chedder	2	7.945555
chee	2	7.945555
cheeks	1	8.638703
cheerful	1	8.638703
cheerios	3	7.540090
cheers	2	7.945555
chees	1	8.638703
cheese	2910	0.662794
cheeseburger	9	6.441478
cheeseburgers	1	8.638703
cheesecake	66	4.449048
cheesecloth	16	5.866114
cheeses	65	4.464315
cheesy	44	4.854513
cheet	1	8.638703
cheez	4	7.252408
cheeze	1	8.638703
chef	12	6.153796
cheh	1	8.638703
chemical	1	8.638703
cherries	60	4.544358
cherry	147	3.648270
chervil	3	7.540090
chesapeake	1	8.638703
cheses	1	8.638703
chess	2	7.945555
chest	1	8.638703
chestnut	4	7.252408
chestnuts	22	5.547660
chevre	2	7.945555
chevril	1	8.638703
chew	1	8.638703
chewier	1	8.638703
chews	2	7.945555
chewy	23	5.503208
chex	10	6.336118
chez	1	8.638703
chia	6	6.846943
chianti	2	7.945555
chiarello	1	8.638703
chicago	2	7.945555
chichen	1	8.638703
chick	11	6.240807
chicked	1	8.638703
chickee	1	8.638703
chicken	2274	0.909407
chickens	20	5.642970
chickey	1	8.638703
chickpea	20	5.642970
chickpeas	59	4.561165
chiffon	6	6.846943
chiffonade	3	7.540090
chiffoned	1	8.638703
chihuahua	4	7.252408
chiken	1	8.638703
chil	2	7.945555
chilaquiles	2	7.945555
chilaquillas	1	8.638703
child	3	7.540090
childhood	1	8.638703
children	2	7.945555
chile	84	4.207886
chilean	4	7.252408
chiles	65	4.464315
chili	618	2.212214
chilie	3	7.540090
chilies	176	3.468219
chilipeppers	1	8.638703
chilipowder	1	8.638703
chiliquilla	1	8.638703
chilis	9	6.441478
chill	327	2.848742
chilled	148	3.641490
chilli	36	5.055184
chillies	19	5.694264
chilliest	1	8.638703
chilling	4	7.252408
chills	2	7.945555
chilluntil	1	8.638703
chimichangas	2	7.945555
chimichurri	3	7.540090
chimney	1	8.638703
chin	1	8.638703
china	1	8.638703
chine	2	7.945555
chinense	1	8.638703
chinese	75	4.321214
chiopped	2	7.945555
chip	98	4.053735
chipits	1	8.638703
chipotle	46	4.810061
chipotles	6	6.846943
chipped	2	7.945555
chips	453	2.522810
chitlins	1	8.638703
chitterlings	3	7.540090
chivada	1	8.638703
chive	6	6.846943
chives	110	3.938222
chlorine	1	8.638703
choc	5	7.029265
choclo	1	8.638703
choco	1	8.638703
chocolate	838	1.907685
chocolates	7	6.692792
chocolaty	1	8.638703
choice	111	3.929172
choices	1	8.638703
choke	1	8.638703
chokos	2	7.945555
chol	2	7.945555
cholay	1	8.638703
chole	1	8.638703
cholent	1	8.638703
cholesterol	10	6.336118
cholula	1	8.638703
chong	2	7.945555
chongqing	1	8.638703
chooped	1	8.638703
choosig	1	8.638703
chop	242	3.149765
chopin	1	8.638703
chopinto	1	8.638703
chopped	2479	0.823092
chopper	4	7.252408
chopping	13	6.073753
chops	181	3.440206
chopstick	2	7.945555
chopsticks	1	8.638703
chorizo	24	5.460649
choux	3	7.540090
chow	12	6.153796
chowder	20	5.642970
choy	22	5.547660
chris	1	8.638703
christmas	16	5.866114
christmastini	1	8.638703
chrushed	1	8.638703
chuck	45	4.832040
chucks	3	7.540090
chuletas	1	8.638703
chunk	24	5.460649
chunked	13	6.073753
chunks	216	3.263424
chunky	42	4.901033
church	1	8.638703
churrascaria	1	8.638703
churros	2	7.945555
chutney	32	5.172967
chutneys	1	8.638703
chuuka	1	8.638703
chuy	1	8.638703
ciabatta	9	6.441478
cider	165	3.532757
cigar	3	7.540090
cilantro	383	2.690668
cinammon	1	8.638703
cinamon	1	8.638703
cincinnati	1	8.638703
cingle	1	8.638703
cinnamin	1	8.638703
cinnamon	954	1.778039
cioccolato	1	8.638703
cipaille	1	8.638703
circle	65	4.464315
circles	32	5.172967
circular	4	7.252408
circulate	5	7.029265
circulation	2	7.945555
circumference	1	8.638703
cit	1	8.638703
citric	4	7.252408
citron	3	7.540090
citronge	1	8.638703
citrus	21	5.594180
city	1	8.638703
clafouti	1	8.638703
clafoutis	1	8.638703
claim	3	7.540090
clam	22	5.547660
clamp	1	8.638703
clams	18	5.748331
clapshot	1	8.638703
clara	2	7.945555
clarified	9	6.441478
classic	18	5.748331
classico	1	8.638703
classics	2	7.945555
claudia	1	8.638703
claussen	2	7.945555
claw	1	8.638703
claws	1	8.638703
clay	10	6.336118
clean	373	2.717124
cleaned	46	4.810061
cleaner	3	7.540090
cleaners	1	8.638703
cleaning	3	7.540090
cleanly	1	8.638703
cleans	1	8.638703
cleanse	1	8.638703
cleanser	1	8.638703
cleanup	4	7.252408
clear	90	4.138893
clearly	2	7.945555
clears	2	7.945555
cleaver	1	8.638703
clementine	1	8.638703
clementines	2	7.945555
clever	1	8.638703
climatize	1	8.638703
climbs	1	8.638703
cling	11	6.240807
clingfilm	1	8.638703
clinging	3	7.540090
clings	1	8.638703
clingwrap	3	7.540090
clipped	1	8.638703
clock	2	7.945555
clone	2	7.945555
closable	2	7.945555
closely	10	6.336118
closer	7	6.692792
closest	3	7.540090
clost	1	8.638703
closures	1	8.638703
cloth	35	5.083355
clothe	1	8.638703
cloths	1	8.638703
cloud	1	8.638703
cloudy	1	8.638703
clove	352	2.775071
clover	2	7.945555
cloves	1012	1.719019
club	16	5.866114
clump	6	6.846943
clumping	2	7.945555
clumps	11	6.240807
cluster	2	7.945555
clusters	2	7.945555
cm	31	5.204715
coagulate	2	7.945555
coagulation	1	8.638703
coal	1	8.638703
coals	28	5.306498
coarse	126	3.802421
coarsely	200	3.340385
coarsley	12	6.153796
coarsly	1	8.638703
coasley	1	8.638703
coast	3	7.540090
coat	526	2.373401
coated	172	3.491208
coating	65	4.464315
coats	13	6.073753
cob	11	6.240807
cobb	4	7.252408
cobbler	16	5.866114
cobblers	1	8.638703
cobs	2	7.945555
coca	4	7.252408
cochinita	1	8.638703
cock	1	8.638703
cocktail	60	4.544358
cocnut	1	8.638703
coco	5	7.029265
cocoa	327	2.848742
cocoan	1	8.638703
coconut	402	2.642251
coctail	1	8.638703
cod	27	5.342866
coffee	184	3.423767
coffeecake	1	8.638703
cognac	22	5.547660
cohesive	3	7.540090
coil	2	7.945555
coils	1	8.638703
coin	1	8.638703
coins	3	7.540090
cointreau	5	7.029265
coke	10	6.336118
cola	12	6.153796
colache	1	8.638703
colada	5	7.029265
coladas	2	7.945555
colander	51	4.706877
colaviata	1	8.638703
colavita	1	8.638703
colby	20	5.642970
colcannon	4	7.252408
cold	457	2.514019
coldcuts	1	8.638703
cole	7	6.692792
coleman	2	7.945555
coleslaw	43	4.877502
coll	1	8.638703
collander	2	7.945555
collapse	1	8.638703
collapsed	1	8.638703
collapses	3	7.540090
collar	1	8.638703
collard	11	6.240807
collards	3	7.540090
collect	3	7.540090
collected	1	8.638703
collecting	1	8.638703
collins	2	7.945555
colman	1	8.638703
colombo	1	8.638703
colonial	1	8.638703
color	112	3.920204
colorado	1	8.638703
colored	31	5.204715
colorful	2	7.945555
coloring	66	4.449048
colorings	1	8.638703
colorless	1	8.638703
colors	6	6.846943
colour	30	5.237505
coloured	7	6.692792
colourful	1	8.638703
colouring	8	6.559261
com	37	5.027785
comb	2	7.945555
combein	1	8.638703
combination	18	5.748331
combine	1758	1.166771
combined	267	3.051454
combinee	1	8.638703
combines	1	8.638703
combining	14	5.999645
combione	1	8.638703
combo	13	6.073753
comes	287	2.979220
comfort	5	7.029265
comfortable	1	8.638703
comfortably	3	7.540090
comice	1	8.638703
comino	1	8.638703
cominos	1	8.638703
comment	3	7.540090
commercial	6	6.846943
commercially	1	8.638703
common	2	7.945555
compact	3	7.540090
company	1	8.638703
comparable	1	8.638703
comparative	1	8.638703
compartment	1	8.638703
compeletely	1	8.638703
compensate	2	7.945555
compleletly	1	8.638703
complement	1	8.638703
complete	24	5.460649
completed	7	6.692792
completely	411	2.620109
completes	2	7.945555
completly	2	7.945555
complex	2	7.945555
compliments	1	8.638703
compound	1	8.638703
compress	1	8.638703
compromise	1	8.638703
compromised	1	8.638703
comstock	1	8.638703
comtainer	1	8.638703
con	17	5.805489
concentrate	53	4.668411
concentrated	2	7.945555
concentrates	3	7.540090
concentric	1	8.638703
concern	1	8.638703
concerned	2	7.945555
conch	2	7.945555
condensation	2	7.945555
condense	1	8.638703
condensed	168	3.514739
condiment	7	6.692792
condiments	2	7.945555
condition	2	7.945555
conditioner	3	7.540090
conditions	1	8.638703
cone	1	8.638703
cones	1	8.638703
coney	2	7.945555
confection	2	7.945555
confectioner	18	5.748331
confectioners	133	3.748353
confetti	3	7.540090
confit	2	7.945555
confusion	1	8.638703
congeal	1	8.638703
congealed	2	7.945555
connect	1	8.638703
connection	1	8.638703
connective	1	8.638703
consciencey	1	8.638703
conservative	1	8.638703
considerable	1	8.638703
considerably	2	7.945555
consideration	1	8.638703
consistancy	10	6.336118
consistency	155	3.595277
consistent	2	7.945555
consistently	1	8.638703
consists	1	8.638703
consolidate	1	8.638703
consomme	12	6.153796
constant	1	8.638703
constantley	1	8.638703
constantly	280	3.003913
consuming	1	8.638703
consumption	2	7.945555
contact	1	8.638703
contacting	1	8.638703
contadina	1	8.638703
contain	2	7.945555
contained	2	7.945555
container	263	3.066549
containers	29	5.271407
containing	9	6.441478
contains	4	7.252408
contending	1	8.638703
content	12	6.153796
contents	34	5.112342
contessa	2	7.945555
contine	1	8.638703
continent	1	8.638703
continually	3	7.540090
continues	2	7.945555
continuous	2	7.945555
continuously	17	5.805489
continusly	1	8.638703
contours	1	8.638703
contrast	3	7.540090
contribute	1	8.638703
control	3	7.540090
convection	7	6.692792
convenient	2	7.945555
conventional	4	7.252408
conversely	1	8.638703
converted	5	7.029265
convince	1	8.638703
cooder	1	8.638703
cook	2058	1.009213
cookbook	3	7.540090
cooked	1048	1.684064
cooker	201	3.335398
cookers	2	7.945555
cookie	397	2.654766
cookies	321	2.867261
cookign	1	8.638703
cookiing	1	8.638703
cookin	1	8.638703
cooking	934	1.799226
cooks	44	4.854513
cookware	1	8.638703
cool	1247	1.510207
cooled	205	3.315693
cooler	5	7.029265
cooling	88	4.161366
cools	26	5.380606
cooming	1	8.638703
coookie	1	8.638703
coors	1	8.638703
copes	1	8.638703
copious	1	8.638703
copper	2	7.945555
copycat	27	5.342866
copykat	1	8.638703
coq	3	7.540090
cord	2	7.945555
cordial	1	8.638703
cordon	2	7.945555
core	38	5.001116
cored	65	4.464315
corer	1	8.638703
coriander	192	3.381207
corkscrew	6	6.846943
cormeal	1	8.638703
cormick	1	8.638703
corn	616	2.215456
cornbread	54	4.649719
corneal	1	8.638703
corned	29	5.271407
corner	21	5.594180
corners	13	6.073753
cornflake	9	6.441478
cornflakes	8	6.559261
cornflour	14	5.999645
cornichons	1	8.638703
corningware	1	8.638703
cornish	3	7.540090
cornmeal	105	3.984742
corns	1	8.638703
cornstach	1	8.638703
cornstarch	443	2.545133
corral	1	8.638703
correct	12	6.153796
correction	1	8.638703
correctly	1	8.638703
corresponds	1	8.638703
corriander	4	7.252408
corrosive	1	8.638703
corstarch	1	8.638703
cortlands	1	8.638703
cosmo	1	8.638703
cost	1	8.638703
costa	1	8.638703
costco	2	7.945555
cotes	1	8.638703
cotija	1	8.638703
cotinue	1	8.638703
cotta	5	7.029265
cottage	110	3.938222
cotton	7	6.692792
cough	1	8.638703
couldn	5	7.029265
coulis	1	8.638703
count	11	6.240807
counter	31	5.204715
countertop	11	6.240807
countless	1	8.638703
country	39	4.975141
county	1	8.638703
coup	1	8.638703
couple	78	4.281994
coupled	1	8.638703
courgette	3	7.540090
courgettes	3	7.540090
course	21	5.594180
courtesy	4	7.252408
courvoisier	1	8.638703
cous	2	7.945555
couscous	49	4.746882
cousin	1	8.638703
cover	1523	1.310265
coverage	3	7.540090
covered	358	2.758170
covering	48	4.767502
covers	9	6.441478
cow	3	7.540090
cowboy	8	6.559261
coyote	2	7.945555
cr	5	7.029265
crab	81	4.244253
crabapple	1	8.638703
crabapples	2	7.945555
crabby	2	7.945555
crabmeat	53	4.668411
crabs	1	8.638703
crack	29	5.271407
cracked	53	4.668411
cracker	127	3.794516
crackers	110	3.938222
cracking	3	7.540090
crackle	4	7.252408
crackled	1	8.638703
crackly	3	7.540090
cracks	1	8.638703
craisins	8	6.559261
crakers	1	8.638703
cram	1	8.638703
cran	3	7.540090
cranberries	64	4.479820
cranberry	98	4.053735
cranked	1	8.638703
crass	1	8.638703
crates	1	8.638703
craving	1	8.638703
crawfish	8	6.559261
crazy	2	7.945555
cream	2459	0.831193
creamed	84	4.207886
creamer	18	5.748331
creamier	5	7.029265
creaminess	1	8.638703
creaming	3	7.540090
creams	2	7.945555
creamsicle	3	7.540090
creamy	259	3.081875
crease	3	7.540090
creates	1	8.638703
creation	1	8.638703
creative	5	7.029265
creek	1	8.638703
creepy	1	8.638703
crema	4	7.252408
creme	62	4.511568
cremini	12	6.153796
creminis	1	8.638703
creole	30	5.237505
crepe	8	6.559261
crepes	13	6.073753
crescent	39	4.975141
crescents	4	7.252408
cretan	1	8.638703
creuset	1	8.638703
crimp	15	5.930652
crimping	7	6.692792
crinkle	4	7.252408
crips	1	8.638703
cripsy	1	8.638703
crisco	21	5.594180
crisp	238	3.166432
crisped	1	8.638703
crisper	4	7.252408
crispier	1	8.638703
crispiness	2	7.945555
crispix	2	7.945555
crisply	8	6.559261
crispness	1	8.638703
crisps	9	6.441478
crispy	104	3.994312
criss	6	6.846943
crisscross	4	7.252408
cristina	1	8.638703
cristo	2	7.945555
critical	2	7.945555
critters	1	8.638703
croatian	1	8.638703
crock	264	3.062754
crocker	25	5.419827
crockery	2	7.945555
crockpot	46	4.810061
crocks	1	8.638703
croissant	9	6.441478
croissants	11	6.240807
croix	1	8.638703
crops	1	8.638703
croquettes	3	7.540090
cross	13	6.073753
crossed	2	7.945555
crossing	2	7.945555
crossways	2	7.945555
crosswise	50	4.726680
crostatas	1	8.638703
crostini	4	7.252408
croutes	1	8.638703
crouton	6	6.846943
croutons	44	4.854513
crowd	15	5.930652
crowding	3	7.540090
crown	7	6.692792
crownjewel	1	8.638703
crowns	2	7.945555
crucial	3	7.540090
crudites	3	7.540090
cruet	1	8.638703
cruller	1	8.638703
crullers	2	7.945555
crumb	61	4.527829
crumbed	2	7.945555
crumble	68	4.419195
crumbled	191	3.386429
crumbles	19	5.694264
crumbling	4	7.252408
crumbly	70	4.390207
crumbs	292	2.961949
crunble	1	8.638703
crunch	21	5.594180
crunchers	1	8.638703
crunchie	1	8.638703
crunchier	1	8.638703
crunchies	3	7.540090
crunchy	45	4.832040
crush	48	4.767502
crushed	528	2.369606
crushing	2	7.945555
crust	285	2.986213
crusted	13	6.073753
crustiness	1	8.638703
crustless	8	6.559261
crusts	49	4.746882
crusty	41	4.925131
crusy	1	8.638703
cruzan	1	8.638703
cry	1	8.638703
crying	1	8.638703
crystal	8	6.559261
crystalize	1	8.638703
crystalized	1	8.638703
crystallised	1	8.638703
crystallized	19	5.694264
crystallizing	1	8.638703
crystals	15	5.930652
cuban	3	7.540090
cubana	1	8.638703
cubanelle	1	8.638703
cubano	1	8.638703
cubbed	1	8.638703
cube	90	4.138893
cubed	211	3.286844
cubes	338	2.815657
cuccumber	1	8.638703
cucina	1	8.638703
cucumber	135	3.733428
cucumbers	62	4.511568
cue	1	8.638703
cuervo	1	8.638703
cuff	1	8.638703
cuisinart	2	7.945555
cuisine	1	8.638703
cuke	1	8.638703
culichi	1	8.638703
culinaire	1	8.638703
culinary	1	8.638703
culla	1	8.638703
cumberland	1	8.638703
cumin	461	2.505305
cunningham	1	8.638703
cup	5329	0.057784
cupboard	2	7.945555
cupcake	23	5.503208
cupcakes	55	4.631369
cupes	1	8.638703
cupful	2	7.945555
cupfuls	8	6.559261
cups	3163	0.579426
cupt	1	8.638703
curacao	5	7.029265
curaco	1	8.638703
curd	28	5.306498
curdle	7	6.692792
curdled	5	7.029265
curdles	2	7.945555
curdling	3	7.540090
curds	9	6.441478
cure	1	8.638703
cured	7	6.692792
curl	9	6.441478
curled	2	7.945555
curling	2	7.945555
curls	2	7.945555
curly	7	6.692792
curoaca	1	8.638703
currant	8	6.559261
currants	10	6.336118
current	1	8.638703
currently	1	8.638703
curried	19	5.694264
curries	1	8.638703
curry	232	3.191965
curtido	1	8.638703
curve	2	7.945555
curved	2	7.945555
curves	1	8.638703
curving	2	7.945555
cust	2	7.945555
custard	67	4.434010
custards	3	7.540090
cute	1	8.638703
cutes	1	8.638703
cuting	1	8.638703
cutlet	7	6.692792
cutlets	18	5.748331
cutout	2	7.945555
cutouts	2	7.945555
cuts	16	5.866114
cutt	1	8.638703
cutter	71	4.376023
cutters	8	6.559261
cycle	24	5.460649
cycles	2	7.945555
cylinder	6	6.846943
cylinders	1	8.638703
cylindrical	1	8.638703
cypress	1	8.638703
czech	1	8.638703
czechoslovakian	2	7.945555
daal	1	8.638703
dab	5	7.029265
dabs	2	7.945555
dad	1	8.638703
daddy	1	8.638703
dago	1	8.638703
dagoba	1	8.638703
daikon	3	7.540090
daily	4	7.252408
daiquiri	1	8.638703
daiquiris	1	8.638703
dairy	33	5.142195
daisies	1	8.638703
dal	15	5.930652
dalchini	2	7.945555
dallas	1	8.638703
dals	3	7.540090
damage	2	7.945555
damaged	1	8.638703
damages	1	8.638703
damp	30	5.237505
dampen	4	7.252408
dampened	2	7.945555
dampenened	1	8.638703
dampening	1	8.638703
damper	2	7.945555
dampers	1	8.638703
dance	2	7.945555
dances	2	7.945555
dancing	1	8.638703
danger	1	8.638703
dangerous	1	8.638703
dangerously	1	8.638703
dango	1	8.638703
daniel	4	7.252408
daniels	7	6.692792
danish	8	6.559261
danny	1	8.638703
daphna	1	8.638703
dariole	1	8.638703
dark	226	3.218168
darken	4	7.252408
darkens	2	7.945555
darker	4	7.252408
darkness	1	8.638703
darlene	2	7.945555
darthlaurie	1	8.638703
dash	194	3.370844
dashes	30	5.237505
dashi	6	6.846943
date	23	5.503208
dated	1	8.638703
dates	43	4.877502
dauphinois	1	8.638703
davinci	2	7.945555
davinici	1	8.638703
day	127	3.794516
days	107	3.965874
dd	1	8.638703
de	72	4.362036
dean	3	7.540090
death	1	8.638703
debb	1	8.638703
debearded	1	8.638703
debone	4	7.252408
deboned	4	7.252408
deboning	1	8.638703
decadent	3	7.540090
decadently	1	8.638703
decaf	2	7.945555
decaffeinated	1	8.638703
decay	1	8.638703
decent	1	8.638703
decision	1	8.638703
decorate	36	5.055184
decorated	2	7.945555
decorating	7	6.692792
decoration	3	7.540090
decorations	3	7.540090
decorative	8	6.559261
decoratively	5	7.029265
decorator	2	7.945555
decrease	11	6.240807
decreased	1	8.638703
decreases	1	8.638703
dedhydrated	1	8.638703
dee	1	8.638703
deen	13	6.073753
deens	1	8.638703
deep	205	3.315693
deepen	1	8.638703
deepens	1	8.638703
deeper	4	7.252408
deeply	1	8.638703
deer	2	7.945555
defatted	2	7.945555
define	1	8.638703
definite	1	8.638703
definitely	2	7.945555
definition	1	8.638703
deflate	6	6.846943
defrost	20	5.642970
defrosted	11	6.240807
deg	16	5.866114
deglaze	21	5.594180
deglazing	2	7.945555
degrease	1	8.638703
degree	140	3.697060
degreees	1	8.638703
degrees	1000	1.730947
degreesf	1	8.638703
dehydrate	1	8.638703
dehydrated	5	7.029265
dehydrates	1	8.638703
dehydrator	2	7.945555
del	1	8.638703
delay	7	6.692792
delete	1	8.638703
deli	20	5.642970
delicacy	1	8.638703
delicate	2	7.945555
delicately	1	8.638703
delicatessen	1	8.638703
delicatley	1	8.638703
delicious	72	4.362036
deliciously	3	7.540090
deliciousness	2	7.945555
delight	7	6.692792
delights	1	8.638703
delish	2	7.945555
deliver	1	8.638703
deluxe	7	6.692792
